Bateleur = the vert;
Papesse = lait perime3, the vert;
Imperatrice = double hache;
Empereur = double hache;
Pape = double hache;
Amoureux = double hache;
Chariot = double hache;
Justice = double hache;
Hermite = double hache;
RoueDeFortune = double hache;
Force = double hache;
Pendu = double hache;
Mort = double hache;
Temperance = double hache;
Diable = double hache;
Tour = double hache;
Etoile = double hache;
Lune = double hache;
Soleil = double hache;
Jugement = double hache;
Monde = double hache;
Atlas = double hache;
